Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,sim.device,sim.pins
1,Single-cell battery,Battery_Cell,BT1,2032,BatteryHolder_Renata_SMTU2032,1,https://cz.mouser.com/datasheet/2/346/renata_smtu2032-lf-1201277.pdf,,
2,C0805,C,C8C9,10pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,~,,
3,C0805,C,C6C7,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,~,,
4,C0805,C,C1C2C4C5C12C13C15C16C17C18,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10,~,,
5,C0805,C,C19,2u2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,,
6,C0805,C,C14,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,,
7,C0805,C,C3C10C11,2u2/10V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,~,,
8,30V/1A/SMA,D_Schottky,D2,B130-13-F,D_SMA_Handsoldering,1,~,,
9,1A/SMA,D,D1,M7-DCO,D_SMA_Handsoldering,1,~,D,1=K 2=A
10,1A/F1812,Polyfuse,F1,Polyfuse,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,1,~,,
11,"Header connector, single row, 01x02, script generated",JUMP_01x02_M,J7J8J10,JUMP_01x02,PinHeader_1x02_P2.54mm_Vertical,3,~,,
12,"Header connector, single row, 01x06, script generated",STM32_SWD_JUMP6,J9,JUMP_01x06,PinHeader_1x06_P2.54mm_Vertical,1,~,,
13,"Header connector, double row, 02x16,, script generated",JUMP_02x16_M_connected_L,J1J2J3J4,JUMP_02x16,PinHeader_2x16_P2.54mm_Vertical,4,~,,
14,"Header connector, double row, 02x03,, script generated",JUMP_02x03_M_connected_R,J5,JUMP_2x3,PinHeader_2x03_P2.54mm_Vertical,1,~,,
15,USB Micro Type B,USB_B_Micro,J6,Wuerth_629105150521,USB_Micro-B_Wuerth_629105150521,1,~,,
16,L0805,FerriteBead_Small,L1,100R,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,
17,R0805,R,R1R2,1k,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,~,,
18,Resistor,R,R3,10k,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,,
19,"Push button switch, generic, two pins",SW_Push,SW1SW2,SW_Push,SW_PUSH_6mm,2,~,,
20,SOT223,MCP1825S,U2,MCP1825S-3302E/DB,SOT-223-3_TabPin2,1,http://ww1.microchip.com/downloads/en/devicedoc/22056b.pdf,,
21,"STMicroelectronics Arm Cortex-M33 MCU, 128KB flash, 32KB RAM, 250 MHz, 49 GPIO, LQFP64",STM32H503RBTx,U1,STM32_UNIVERSAL,LQFP-64_10x10mm_P0.5mm,1,https://www.st.com/resource/en/datasheet/stm32h503rb.pdf,,
22,Two pin crystal,Crystal,Y2,16MHz,Crystal_HC49-U_Vertical,1,~,,
23,Two pin crystal,Crystal,Y1,32768Hz,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,1,~,,
