Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.1500,80.3075,-90.0000,bottom
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.9625,76.7700,0.0000,bottom
"C3","2u2/10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",31.2500,82.0700,-90.0000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.0060,81.1315,-90.0000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.0060,77.2160,90.0000,bottom
"C6","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.1685,31.4960,0.0000,bottom
"C7","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.1810,34.0360,0.0000,bottom
"C8","10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",32.3125,24.0540,180.0000,bottom
"C9","10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.2995,24.0540,0.0000,bottom
"C10","2u2/10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.0020,49.0220,180.0000,bottom
"C11","2u2/10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",36.3504,41.2466,-45.0000,bottom
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",32.3850,53.7425,90.0000,bottom
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.0840,35.9410,45.0000,bottom
"C14","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.5420,54.9910,180.0000,bottom
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",17.0500,42.4200,180.0000,bottom
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.5420,51.6890,180.0000,bottom
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",34.1630,38.4810,-45.0000,bottom
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.9000,35.8200,-90.0000,bottom
"C19","2u2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",15.1000,19.1700,0.0000,bottom
"D1","M7-DCO","D_SMA_Handsoldering",15.3000,82.5200,90.0000,bottom
"D2","B130-13-F","D_SMA_Handsoldering",25.0500,89.1200,0.0000,bottom
"F1","Polyfuse","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",17.1500,89.1200,0.0000,bottom
"J6","Wuerth_629105150521","USB_Micro-B_Wuerth_629105150521",36.1950,87.6300,0.0000,bottom
"L1","100R","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",11.5000,11.2200,0.0000,bottom
"R1","1k","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",29.2500,77.2200,90.0000,bottom
"R2","1k","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",20.9500,77.1200,180.0000,bottom
"R3","10k","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.7425,5.0800,180.0000,bottom
"U1","STM32_UNIVERSAL","LQFP-64_10x10mm_P0.5mm",26.3250,45.7500,90.0000,bottom
"U2","MCP1825S-3302E/DB","SOT-223-3_TabPin2",6.4000,79.0700,180.0000,bottom
"U3","TPS2051BDBVRG4","SOT-23-5",27.7500,84.1700,180.0000,bottom
"U4","MCP1825S-3302E/DB","SOT-223-3_TabPin2",42.2402,79.1851,180.0000,bottom
